m_id,m_name,m_mail,m_password,is_active
1,irhlytpw,irhlytpw@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,False
2,psmnhhfd,psmnhhfd@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
3,jqwufpzh,jqwufpzh@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,False
4,bohkjjmi,bohkjjmi@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,False
5,eclbncmd,eclbncmd@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
6,uamsiyfz,uamsiyfz@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
7,hxbjgtaf,hxbjgtaf@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
8,swrlrqsd,swrlrqsd@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
9,ienozage,ienozage@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
10,lrkwzjra,lrkwzjra@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
11,svlcyeux,svlcyeux@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,False
12,efijhtja,efijhtja@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,False
13,sbaipivk,sbaipivk@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
14,ntfneknf,ntfneknf@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
15,jcmgagjv,jcmgagjv@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
16,oztghiau,oztghiau@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
17,ovxtkkid,ovxtkkid@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
18,dmbemmdw,dmbemmdw@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
19,lugmurpq,lugmurpq@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
20,llzpohhl,llzpohhl@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
21,jvehdcwq,jvehdcwq@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
22,zhblzmyv,zhblzmyv@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
23,rpzqqmbb,rpzqqmbb@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
24,ojesdgju,ojesdgju@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,True
25,kbfeluoi,kbfeluoi@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
26,zmnooidc,zmnooidc@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
27,cxwusups,cxwusups@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,False
28,kqhcipun,kqhcipun@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
29,zbmlwfbd,zbmlwfbd@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,True
30,zxbojytj,zxbojytj@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,False
31,cxxrasms,cxxrasms@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,False
32,wzbtzesd,wzbtzesd@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
33,zbuermri,zbuermri@ntu.edu.tw,pbkdf2:sha256:260000$nyshBcddMUIbuXdE$cc7b50dee51a3fb1b0e675fac18a3c6340356737ce9688284aed3a5bbf0e877f,True
34,whikufzg,whikufzg@ntu.edu.tw,pbkdf2:sha256:260000$6wpNtYbwSPQc6rLG$eaeda4fe4e5591b401fe7209d0f1480a1e804dffd605f6ab72975ade7ec05173,True
35,ewnbbpel,ewnbbpel@ntu.edu.tw,pbkdf2:sha256:260000$VDKHgWM6LdTQL0y9$29d8e229ead660adcadc345eb6dc46819e8038c17a0640633e2ab5696c7e1ff1,False
36,eizdiyoi,eizdiyoi@ntu.edu.tw,pbkdf2:sha256:260000$jQpNUmJC95EO8xCa$d3d63d8263771447c514331edefde0bced5a965ff5746f3d8f2a1ea7b9942297,False
37,icxamwsf,icxamwsf@ntu.edu.tw,pbkdf2:sha256:260000$RD4d2g7qnEcoTC3s$f739b1239bac771f68097a7cc88bd26a46f14322b0db761285514149e540d2b5,True
38,soonrzmv,soonrzmv@ntu.edu.tw,pbkdf2:sha256:260000$bCrmvM3Wj67HLIUb$9b2a3b065caf53e6f836655eaf85e168d4e997832e0fc5323822a1b1532bebb8,True
